"govtrust","humanid","globalid","ownestim","gender","age","income","edu","ses","scicons","trustsci","envid","extmotiv","intmotiv","politics","cri_2020","co_emissions","gini","hdi","CountryCode","pcpid","ccshare"
"94","98","96","67","1","35","7","3","8","13","69","100","21.6","95","14",92.5,3.5346,27.6,0.745,1,"2",1
"50","81","76","50","1","23","4","2","7","49","47","68","50","53","50",92.5,3.5346,27.6,0.745,1,"3",1
"46","100","67","28","1","50","8","4","6","77","81","87","3","70.6","15",92.5,3.5346,27.6,0.745,1,"4",1
"10","80","74","4","1","35","6","3","5","41","55.5","98.25","26.4","82","46",92.5,3.5346,27.6,0.745,1,"5",1
"50","30","40","21","1","45","2","2","2","100","100","85","0","100","54",92.5,3.5346,27.6,0.745,1,"6",1
"100","65","100","41","2","24","3","3","6","88","93.5","98","30","100","60",92.5,3.5346,27.6,0.745,1,"7",1
"69","77","57","43","2","20","1","3","10","38","71","90.5","56.8","48.6","54",92.5,3.5346,27.6,0.745,1,"8",1
"75","47","55","9","2","32","4","4","5","90","68","75.5","0.2","77.4","43",92.5,3.5346,27.6,0.745,1,"9",1
"80","80","50","60","1","23","1","2","5","30","67.5","95","17.4","99.8","19.5",92.5,3.5346,27.6,0.745,1,"10",0
"50","100","90","50","1","21","","3","8","57","89.5","92.5","46.6","90","50.5",92.5,3.5346,27.6,0.745,1,"11",1
"","42","51","100","1","23","","2","","","37","75.5","60.8","56.4","",92.5,3.5346,27.6,0.745,1,"12",1
"96","75","58","32","1","30","3","2","5","64","60","67.5","25.6","84","",92.5,3.5346,27.6,0.745,1,"13",1
"91","80","80","81","1","25","2","3","6","80","100","100","21","77.4","49",92.5,3.5346,27.6,0.745,1,"14",1
"50","100","100","50","1","22","5","3","9","57","83","83.5","24.4","93.8","46.5",92.5,3.5346,27.6,0.745,1,"15",1
"96","80","86","65","1","22","7","3","6","80","80","86.5","16.4","71.2","61",92.5,3.5346,27.6,0.745,1,"16",0
"9","92","81","30","2","29","","3","2","7","50","95.75","14","94.4","54.5",92.5,3.5346,27.6,0.745,1,"17",0
"40","50","41","61","1","40","8","4","6","59","59","76.5","13","68.6","47.5",92.5,3.5346,27.6,0.745,1,"18",0
"100","100","100","100","2","43","1","","3","50","99","99","67","99.5","99",92.5,3.5346,27.6,0.745,1,"20",0
"80","92","97","72","1","37","3","2","6","90","60","93.25","3.6","98.2","76",92.5,3.5346,27.6,0.745,1,"21",0
"48","100","49","59","2","22","2","3","5","70","64.5","69.25","1.6","58.6","55.5",92.5,3.5346,27.6,0.745,1,"23",1
"53","100","55","70","2","24","4","3","8","94","69.5","100","50","100","100",92.5,3.5346,27.6,0.745,1,"24",0
"26","89","71","80","1","37","8","3","8","40","57","90.75","18.8","98","58",92.5,3.5346,27.6,0.745,1,"25",1
"81","90","70","70","1","34","2","3","7","75","77","88","55.2","86","80.5",92.5,3.5346,27.6,0.745,1,"26",1
"79","80","78","31","2","31","4","3","7","26","80","67.25","27.2","80.4","58",92.5,3.5346,27.6,0.745,1,"27",0
"100","80","75","68","1","56","4","2","3","50","89.5","96.25","3.8","80.8","52.5",92.5,3.5346,27.6,0.745,1,"28",0
"90","75","55","80","1","34","","3","5","77","63","100","48.3333333333333","99","100",92.5,3.5346,27.6,0.745,1,"29",0
"50","60","70","15","1","47","5","2","6","95","85","92.25","44.6","92","",92.5,3.5346,27.6,0.745,1,"30",1
"100","100","100","61","1","35","5","4","10","99","100","100","80.6","99.6","99.5",92.5,3.5346,27.6,0.745,1,"31",1
"40","74","80","36","1","40","3","3","7","76","70.5","86.5","1.8","89","52.5",92.5,3.5346,27.6,0.745,1,"32",1
"50","100","100","48","1","37","8","4","7","60","100","99.75","80","80","49",92.5,3.5346,27.6,0.745,1,"33",1
"75","50","79","81","1","58","3","3","6","79","47","73.5","53.6","87.4","",92.5,3.5346,27.6,0.745,1,"35",1
"55","51","40","30","1","30","3","4","10","74","60","59.25","30.8","55.4","",92.5,3.5346,27.6,0.745,1,"36",0
"66","72","71","51","2","27","","3","9","68","83.5","93.5","22.4","100","",92.5,3.5346,27.6,0.745,1,"37",0
"60","100","90","90","1","27","1","3","2","90","95","90","10","98","60",92.5,3.5346,27.6,0.745,1,"38",1
"51","85","8","15","2","19","3","3","4","19","35","65.75","53.2","47.6","65.5",92.5,3.5346,27.6,0.745,1,"40",1
"71","85","51","54","1","31","3","2","3","62","58","84.75","9.4","79.8","73",92.5,3.5346,27.6,0.745,1,"41",1
"69","96","97","54","1","49","6","2","4","61","86","89","59.2","88.2","52.5",92.5,3.5346,27.6,0.745,1,"42",1
"20","70","50","60","2","22","4","3","9","95","50","72.5","15.2","70.8","68",145.17,1.9878,27.9,0.759,2,"43",1
"0","83","73","91","2","48","1","3","3","49","87","28.5","3","44","",145.17,1.9878,27.9,0.759,2,"44",0
"42","73","70","43","2","20","5","3","6","82","64.5","76.5","4","84.2","7.5",145.17,1.9878,27.9,0.759,2,"45",0
"20","90","80","65","2","19","6","3","8","80","50","70","1.8","78","81",145.17,1.9878,27.9,0.759,2,"49",1
"26","85","89","83","1","27","","4","7","93","59","96.25","5.6","92.2","62.5",145.17,1.9878,27.9,0.759,2,"51",0
"1","100","100","50","1","21","3","2","5","80","65","35.75","20.8","67.8","51.5",145.17,1.9878,27.9,0.759,2,"52",0
"45","87","79","45","2","20","5","3","7","86","89.5","81.75","2","73.8","",145.17,1.9878,27.9,0.759,2,"53",0
"14","96","51","40","1","19","3","3","6","87","55","79.75","25.4","67.4","51.5",145.17,1.9878,27.9,0.759,2,"54",0
"31","50","100","20","2","21","3","2","7","100","30","67.5","1","70","90",145.17,1.9878,27.9,0.759,2,"56",1
"10","70","40","10","2","22","5","4","6","49","40","25","4.6","28.6","90",145.17,1.9878,27.9,0.759,2,"60",0
"4","93","95","31","2","21","5","3","8","34","30","76","3.6","76","53",145.17,1.9878,27.9,0.759,2,"62",0
"60","72","53","22","1","36","4","3","8","90","64","88.25","3.2","82.6","56.5",145.17,1.9878,27.9,0.759,2,"63",0
"0","81","70","100","1","23","4","3","6","100","51","53.5","21","45","",145.17,1.9878,27.9,0.759,2,"64",0
"10","70","1","64","1","27","8","3","5","90","59","41","6","54","63.5",145.17,1.9878,27.9,0.759,2,"65",0
"1","100","53","28","2","19","4","3","6","60","67.5","51.75","6.4","38.8","73",145.17,1.9878,27.9,0.759,2,"66",0
"7","22","14","62","1","27","","","7","13","27.5","14.75","13.4","25","42",145.17,1.9878,27.9,0.759,2,"67",0
"16","50","79","60","1","33","3","1","5","71","42","51.5","8.6","45","",145.17,1.9878,27.9,0.759,2,"68",1
"20","100","70","70","2","45","3","2","4","80","90","52.5","1","57","",145.17,1.9878,27.9,0.759,2,"69",1
"50","20","70","5","1","23","8","4","8","70","51","100","22","98","50",145.17,1.9878,27.9,0.759,2,"70",0
"0","76","100","93","2","25","6","3","8","53","50","44.75","46","53.8","",145.17,1.9878,27.9,0.759,2,"71",0
"2","63","70","60","2","23","","3","4","78","51","75","2.4","67.2","61.5",145.17,1.9878,27.9,0.759,2,"72",0
"58","90","80","60","2","23","5","4","6","70","85","66","31","46.8","52.5",145.17,1.9878,27.9,0.759,2,"73",0
"5","71","40","10","1","18","5","2","6","74","50","68.5","3.4","41.8","",145.17,1.9878,27.9,0.759,2,"74",0
"6","41","25","22","2","21","5","4","6","36","31","40","5.4","37","",145.17,1.9878,27.9,0.759,2,"75",0
"21","50","53","51","2","49","3","3","6","60","50.5","66.5","30.6","64.8","",145.17,1.9878,27.9,0.759,2,"76",1
"1","95","25","70","2","20","3","3","5","55","44.5","74.25","32.4","53","",145.17,1.9878,27.9,0.759,2,"78",0
"5","100","60","43","2","25","5","4","5","100","45","82.5","10.6","81.8","44.5",145.17,1.9878,27.9,0.759,2,"79",0
"6","91","100","4","2","23","3","3","4","16","16.5","75.75","31.8","80.4","65.5",145.17,1.9878,27.9,0.759,2,"80",1
"3","81","40","100","2","31","3","2","5","99","79.5","33","21.4","38.2","",145.17,1.9878,27.9,0.759,2,"82",1
"0","100","100","71","2","23","4","3","6","50","81","55","0.8","31.8","",145.17,1.9878,27.9,0.759,2,"83",0
"2","100","10","51","2","50","","3","8","100","70","77.5","0.6","95.6","46.5",145.17,1.9878,27.9,0.759,2,"84",0
"22","97","99","51","2","56","3","2","8","50","56.5","65.25","50.8","61.8","",145.17,1.9878,27.9,0.759,2,"85",0
"48","81","80","49","2","34","7","4","7","53","81.5","79.5","47","68.6","38",50.17,15.3684,34.3,0.951,3,"88",0
"100","100","100","100","2","35","5","2","8","100","100","98.5","37.2","92.4","62",50.17,15.3684,34.3,0.951,3,"90",1
"0","100","9","29","2","45","6","3","5","50","11","75.75","3","49.2","1.5",50.17,15.3684,34.3,0.951,3,"92",1
"8","86","80","91","2","27","6","2","6","60","75","82.25","27.8","75.4","4.5",50.17,15.3684,34.3,0.951,3,"93",0
"81","81","82","70","1","36","7","3","6","70","82.5","72.5","77","67","51",50.17,15.3684,34.3,0.951,3,"95",1
"25","78","50","41","2","40","6","3","7","46","54","56","48.4","55","67.5",50.17,15.3684,34.3,0.951,3,"96",0
"53","57","61","36","1","35","4","2","6","70","58","52.5","61","61.4","57.5",50.17,15.3684,34.3,0.951,3,"97",1
"81","85","50","74","2","29","6","4","5","95","86","73","17.8","66.8","77",50.17,15.3684,34.3,0.951,3,"99",0
"34","70","42","72","1","30","3","3","8","71","81","78.75","37.8","83.4","50.5",50.17,15.3684,34.3,0.951,3,"100",1
"88","81","91","89","2","40","8","3","8","91","87.5","89.5","59.8","65.4","62.5",50.17,15.3684,34.3,0.951,3,"102",1
"0","100","0","15","1","57","8","4","10","81","50","25.25","0","40.2","50",50.17,15.3684,34.3,0.951,3,"104",0
"77","89","84","81","2","18","1","2","4","81","82.5","82.5","51.2","66.2","76",50.17,15.3684,34.3,0.951,3,"105",0
"50","89","69","70","2","66","4","3","5","73","70","63.25","13.4","62.8","56.5",50.17,15.3684,34.3,0.951,3,"107",0
"63","89","90","79","2","42","6","3","4","77","83","68","30","80.6","60",50.17,15.3684,34.3,0.951,3,"108",0
"70","88","78","60","2","50","7","3","8","80","91","81.5","44","62.4","36.5",50.17,15.3684,34.3,0.951,3,"110",0
"69","68","68","81","1","33","4","2","8","81","75.5","64.75","67","58.4","77.5",50.17,15.3684,34.3,0.951,3,"111",1
"62","79","66","19","1","26","6","3","4","66","85.5","67.75","40.6","40.8","45",50.17,15.3684,34.3,0.951,3,"112",1
"90","90","90","80","2","33","4","2","5","70","85","88.25","53.6","52.2","54",50.17,15.3684,34.3,0.951,3,"117",1
